Price,Close,High,Low,Open,Volume,rsi,macd,bb_high,bb_low,bb_width,return,target
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,,,,,,,
Date,,,,,,,,,,,,
2018-02-19,472.019287109375,473.7918357908107,467.2438527912079,470.6221118605055,6461840,55.48813643299376,-1.827311937950757,498.06019383054536,452.7183736743375,9.537829670518946,0.004595035354979959,1
2018-02-20,474.188232421875,479.4224869855723,460.3415137105919,460.3415137105919,7188594,57.0264231569459,-1.2661677525685295,497.919336451901,452.58814340649747,9.538313796785008,0.009191025987566048,1
2018-02-21,478.5465087890625,480.4233252817678,475.4601781520104,478.5882056398526,13771358,60.01656931751142,-0.6092169707353907,497.8281411004017,452.57090980291866,9.52383764576946,0.011635027127075759,1
2018-02-22,484.1144104003906,485.4698890424766,475.6478619019828,477.77496142370575,17859974,63.5098099945212,0.15192907001166844,496.7211691023045,452.99597872484395,9.20804483261129,-0.004393744845465952,0
2018-02-23,481.9873352050781,486.3040029217019,478.2753990998813,485.26132710068623,9459828,61.30622893679427,0.44706042724466766,494.45137041640317,454.00830670762025,8.528156691155667,-0.014753547302634229,0
2018-02-26,474.8763122558594,481.7371503773153,473.10376318650884,480.0479950170524,5083608,54.49843824929211,0.1155486922398401,492.3164085337528,454.60845108538786,7.964297708591434,0.010187749983982197,1
2018-02-27,479.7142333984375,481.1531564646906,469.4751881936338,477.5246143476143,6616026,57.9219263996951,0.1709379382441618,489.58248465853086,455.97854439420354,7.107725304202065,0.019475006355254454,1
2018-02-28,489.0566711425781,496.10517008019724,476.52373795629643,478.62991262891273,17268416,63.615047804539465,0.7530037518266539,489.7759110839768,455.8664564697342,7.171729139413071,-0.010105701514388832,0
2018-03-01,484.1144104003906,487.8054728279969,482.1542001135219,487.8054728279969,6579852,59.062480222030196,0.7213350491758206,490.4532909740384,455.6269977222506,7.362227850614849,-0.004178155069691325,0
