Price,Close,High,Low,Open,Volume,rsi,macd,bb_high,bb_low,bb_width,return,target
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,,,,,,,
Date,,,,,,,,,,,,
2018-02-19,1190.668212890625,1211.2568843077013,1184.340108176215,1211.2568843077013,495950,43.41500108239656,-0.7531490991567709,1248.0367793202763,1170.1321537851923,6.443274038347448,-0.0030690118079294004,0
2018-02-20,1187.0140380859375,1197.3083200334802,1183.4933951830708,1187.3259662420153,688130,42.084986269001796,-1.2712023472599965,1247.7402376416676,1167.6969083544263,6.627647456686972,-0.0009009649199575032,0
2018-02-21,1185.944580078125,1193.4314007674118,1179.1708313781076,1193.4314007674118,1406451,41.68251977728976,-1.5623188686833682,1247.758076996414,1165.4954264215546,6.817572249110854,-0.00311890842219531,0
2018-02-22,1182.2457275390625,1188.796763666298,1170.480801268843,1185.4989417030242,2173259,40.248866420410415,-1.8601760127312144,1246.7489781763068,1162.7700525854118,6.970596581206233,-0.0024877756297730924,0
2018-02-23,1179.3045654296875,1186.8358852428455,1176.675207625455,1182.2903504349242,896708,39.097339682568716,-2.0940501342483664,1245.8217804761316,1159.8870085863682,7.144237264332565,0.00767074328659878,1
2018-02-26,1188.3507080078125,1192.896241178458,1173.154250455532,1173.154250455532,1109668,44.36921034881006,-1.5057863244264604,1243.4112920716257,1158.7813592955617,7.046057086878317,0.009787807233900825,1
2018-02-27,1199.9820556640625,1205.4634825386456,1189.063809703916,1194.3224152323735,1316559,50.3235098864574,-0.2646464074721564,1235.9436970490224,1161.707841036915,6.192380738643152,-0.021242383080069205,0
2018-02-28,1174.4915771484375,1192.9857529980525,1168.4753994624182,1192.8966461996429,1862621,40.174968377731076,-1.0477840404517558,1226.1014039621841,1164.197033537816,5.179635266725405,0.004932320386719757,1
2018-03-01,1180.2845458984375,1184.5181510281468,1171.3716929937862,1176.4965834139607,961945,42.98881645810126,-1.0598216237342593,1222.4262963951803,1163.852426749351,4.909222806013479,-0.018500777390085377,0
2018-03-05,1158.4483642578125,1177.343573919212,1153.1006510933216,1176.4968961879688,842790,36.0967959684008,-2.3487298878866625,1219.7723255038256,1160.1337169766432,5.0118456327816885,-0.005039405125959351,0
2018-03-06,1152.6104736328125,1165.7124369964522,1149.045331297048,1158.6712591234157,738512,34.5041251215529,-3.3440624684796827,1216.429032388632,1156.4358601894928,5.056602454424324,0.0005025319880938017,1
2018-03-07,1153.189697265625,1165.4448726233566,1150.7386621940786,1152.4767341608735,917890,34.81145421247835,-3.6860634843553086,1215.204981167219,1152.1428581882496,5.3276600870059445,-0.0005410223215372989,0
2018-03-08,1152.5657958984375,1163.6177571853189,1144.5887258795083,1158.6710794417513,739272,34.62299874092916,-3.6690200167054563,1216.5661130634621,1147.9117922099754,5.80714420721536,0.005877045514217194,1
2018-03-09,1159.3394775390625,1161.3448696778,1146.282124742496,1154.2145865178443,852176,38.51480040709999,-2.9473689651262553,1217.0905792912145,1146.3266936580044,5.988268465594016,0.01802805405194241,1
2018-03-12,1180.2401123046875,1183.5824326372217,1153.3679438707043,1163.1274757219082,874857,48.66859226112181,-0.9136468756908886,1216.824243286571,1146.1161741938977,5.984752604813208,-0.002756262665450482,0
2018-03-13,1176.987060546875,1186.7019850445893,1170.88166809163,1180.8641305472786,1067772,47.357707483435746,0.2964953882693635,1216.1809930777163,1145.6453130746277,5.97297776041782,-0.002763880646488137,0
